Number,Latitude,Longitude,Name,Type
1,56.453851,-3.992057,Ben Chonzie,MOUTAIN
2,56.506918,-4.041691,Creagan na Beinne,MOUTAIN
3,732324,56.465278,Creag Uchdag,MOUTAIN
4,56.454346,-3.934667,Auchnafree Hill,MOUTAIN
5,56.491391,-4.06498,Shee of Ardtalnaig [Ciste Buide a'Claidheimh],MOUTAIN
6,56.487851,-3.890016,Beinn na Gainimh,MOUTAIN
7,56.419004,-4.308645,Meall Buidhe,MOUTAIN
8,56.436804,-4.151869,Creag Ruadh,MOUTAIN
9,56.552173,-3.812784,Meall Dearg,MOUTAIN
10,56.410297,-4.185395,Creag Each,MOUTAIN
11,56.46677,-4.221506,Creag Gharbh,MOUTAIN
12,56.484891,-3.741256,Meall nan Caorach,MOUTAIN
13,56.479066,-3.751689,Meall Reamhar,MOUTAIN
14,56.496887,-3.649095,Creag na Criche,MOUTAIN
15,56.543547,-3.575752,Birnam Hill - King's Seat,MOUTAIN
16,56.389329,-3.826973,Knock of Crieff,MOUTAIN
17,56.342671,-4.219463,Ben Vorlich,MOUTAIN
18,56.329315,-4.237533,Stuc a'Chroin,MOUTAIN
19,56.313957,-4.262199,Beinn Each,MOUTAIN
20,56.341247,-4.184316,Meall na Fearna,MOUTAIN
21,56.352093,-4.110623,Beinn Dearg,MOUTAIN
22,56.323605,-4.29177,Sgiath a'Chaise,MOUTAIN
23,56.365368,-4.079704,Mor Bheinn,MOUTAIN
24,56.31322,-4.007267,Ben Clach,MOUTAIN
25,56.350611,-3.912514,Torlum,MOUTAIN
26,56.385952,-4.540103,Ben More,MOUTAIN
27,56.370726,-4.535753,Stob Binnein,MOUTAIN
28,56.364913,-4.529521,Stob Coire an Lochain,MOUTAIN
29,56.355467,-4.577899,Cruach Ardrain SW Top,MOUTAIN
30,56.356429,-4.576151,Cruach Ardrain,MOUTAIN
31,56.3386,-4.624368,An Caisteal,MOUTAIN
32,56.190284,-4.633008,Ben Lomond,MOUTAIN
33,56.370157,-4.510289,Meall na Dige,MOUTAIN
34,56.364811,-4.573721,Stob Garbh,MOUTAIN
35,56.342216,-4.56333,Beinn Tulaichean,MOUTAIN
36,56.332393,-4.599295,Beinn a'Chroin East Top [Beinn a'Chroin],MOUTAIN
37,56.331719,-4.612328,Beinn a'Chroin West Top,MOUTAIN
38,56.325775,-4.641485,Beinn Chabhair,MOUTAIN
39,56.368977,-4.513515,Creag a'Bhragit,MOUTAIN
40,56.361037,-4.570665,Stob Garbh SE Top,MOUTAIN
41,56.37552,-4.496211,Stob Creagach,MOUTAIN
42,56.258659,-4.322375,Ben Ledi,MOUTAIN
43,715975,56.309674,Stob a'Choin,MOUTAIN
44,723408,56.380403,Meall an t-Seallaidh,MOUTAIN
45,56.293295,-4.368435,Benvane,MOUTAIN
46,725567,56.399888,Creag Mac Ranaich,MOUTAIN
47,56.31467,-4.468143,Beinn Stacach [Ceann na Baintighearna] [Stob Fear-tomhais] [Beinn Stacath],MOUTAIN
48,56.281081,-4.659947,Beinn a'Choin,MOUTAIN
49,56.376801,-4.444527,The Stob,MOUTAIN
50,56.301077,-4.613679,Meall Mor,MOUTAIN
51,56.225006,-4.461986,Ben Venue,MOUTAIN
52,56.316392,-4.51208,Stob Breac,MOUTAIN
53,56.283892,-4.411285,Meall Cala,MOUTAIN
54,56.335473,-4.411255,Creag Mhor,MOUTAIN
55,56.210735,-4.637088,Cruinn a'Bheinn,MOUTAIN
56,56.227267,-4.604292,Beinn Uamha,MOUTAIN
57,56.152448,-4.578276,Beinn Uird,MOUTAIN
58,56.137292,-4.545856,Binnean nan Gobhar,MOUTAIN
59,717861,56.330759,Beinn an t-Sidhein,MOUTAIN
60,56.254715,-4.407384,Meall Gainmheich,MOUTAIN
61,56.206333,-4.573894,Beinn Dubh,MOUTAIN
62,56.205721,-4.276572,Beinn Dearg,MOUTAIN
63,56.188425,-4.342241,Craig of Monievreckie,MOUTAIN
64,56.098586,-4.521076,Conic Hill,MOUTAIN
65,56.397013,-4.81051,Ben Lui [Beinn Laoigh],MOUTAIN
66,56.398011,-4.81209,Ben Lui NW Top,MOUTAIN
67,56.389263,-4.775488,Ben Oss,MOUTAIN
68,56.23682,-4.817159,Beinn Ime,MOUTAIN
69,56.391304,-4.743194,Beinn Dubhchraig,MOUTAIN
70,56.326662,-4.906722,Beinn Bhuidhe,MOUTAIN
71,56.27403,-4.755047,Ben Vorlich,MOUTAIN
72,56.394164,-4.770577,Ben Oss North Top,MOUTAIN
73,56.278801,-4.755923,Ben Vorlich North Top,MOUTAIN
74,56.220947,-4.789002,Beinn Narnain,MOUTAIN
75,725606,56.390231,Beinn a'Chleibh,MOUTAIN
76,56.249777,-4.781638,Ben Vane,MOUTAIN
77,56.332282,-4.891698,Beinn Bhuidhe East Top,MOUTAIN
78,56.245838,-4.819357,Beinn Chorranach,MOUTAIN
79,56.213037,-4.808042,The Cobbler [Ben Arthur],MOUTAIN
80,56.423887,-4.789867,Beinn Chuirn,MOUTAIN
81,56.231249,-4.836341,Beinn Luibhean,MOUTAIN
82,56.2577,-4.857968,Stob Coire Creagach [Binnein an Fhidhleir],MOUTAIN
83,56.333881,-4.798858,Meall an Fhudair,MOUTAIN
84,56.375523,-4.85848,Meall nan Gabhar,MOUTAIN
85,56.376811,-4.860682,Meall nan Gabhar (old GR),MOUTAIN
86,56.316818,-4.779041,Beinn Damhain,MOUTAIN
87,56.430037,-4.76167,Meall Odhar,MOUTAIN
88,56.398537,-4.683429,Fiarach,MOUTAIN
89,56.374992,-4.912121,Beinn Bhalgairean,MOUTAIN
90,718084,56.31819,Beinn Ghlas,MOUTAIN
91,231262,705871,Cruach Tairbeirt,MOUTAIN
92,56.250182,-5.062218,Dun Corr-bhile,MOUTAIN
93,56.136259,-4.752375,Doune Hill,MOUTAIN
94,56.093338,-4.754424,Beinn Chaorach,MOUTAIN
95,56.112762,-4.785269,Beinn a'Mhanaich,MOUTAIN
96,56.114637,-4.732361,Beinn Eich,MOUTAIN
97,56.12978,-4.776779,Cruach an t-Sidhein,MOUTAIN
98,56.163652,-4.704575,Beinn Bhreac,MOUTAIN
99,56.128894,-4.702958,Mid Hill [Beinn Dubh],MOUTAIN
100,56.167836,-4.749947,Tullich Hill,MOUTAIN
101,56.046771,-4.769123,The Fruin,MOUTAIN
102,56.010052,-4.664305,Ben Bowie,MOUTAIN
103,56.666942,-4.100213,Schiehallion,MOUTAIN
104,56.560382,-4.647618,Beinn a'Chreachain,MOUTAIN
105,56.502888,-4.722142,Beinn Dorain,MOUTAIN
